date,long_book,short_book,long_short_return,information_coefficient
2022-01-31,"RELIANCE.NS, SBIN.NS, HINDUNILVR.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",-0.013958907659767372,-0.3473705593821394
2022-02-28,"RELIANCE.NS, SBIN.NS, HDFCBANK.NS","INFY.NS, TCS.NS, MARUTI.NS",-0.006113513848200802,0.0035026323416917316
2022-03-31,"RELIANCE.NS, HDFCBANK.NS, SUNPHARMA.NS","INFY.NS, ICICIBANK.NS, TCS.NS",0.02786352516618747,0.45534220441992507
2022-04-30,"RELIANCE.NS, HDFCBANK.NS, SBIN.NS","INFY.NS, BHARTIARTL.NS, TCS.NS",0.04633134673790614,0.3193002111492393
2022-05-31,"RELIANCE.NS, HINDUNILVR.NS, SBIN.NS","INFY.NS, TCS.NS, BHARTIARTL.NS",0.04822961760383467,0.40213203794904406
2022-06-30,"SBIN.NS, RELIANCE.NS, HDFCBANK.NS","INFY.NS, LT.NS, ICICIBANK.NS",-0.00792502612525777,-0.1258741258741259
2022-07-31,"AXISBANK.NS, RELIANCE.NS, HDFCBANK.NS","INFY.NS, TCS.NS, ICICIBANK.NS",0.0194657496659741,0.1366026613259775
2022-08-31,"RELIANCE.NS, AXISBANK.NS, SBIN.NS","INFY.NS, TCS.NS, LT.NS",-0.01553791050185871,-0.09807370556736847
2022-09-30,"SBIN.NS, RELIANCE.NS, HINDUNILVR.NS","INFY.NS, TCS.NS, ICICIBANK.NS",0.010130720380661613,0.05954474980875943
2022-10-31,"AXISBANK.NS, RELIANCE.NS, SBIN.NS","INFY.NS, LT.NS, TCS.NS",-0.097477869720655,-0.62697118916282
2022-11-30,"RELIANCE.NS, SBIN.NS, AXISBANK.NS","INFY.NS, TCS.NS, ICICIBANK.NS",-0.0019975154110856153,-0.1225921319592106
2022-12-31,"SBIN.NS, RELIANCE.NS, AXISBANK.NS","TCS.NS, INFY.NS, MARUTI.NS",0.03328933702910756,0.03852895575860905
2023-01-31,"HDFCBANK.NS, RELIANCE.NS, SBIN.NS","TCS.NS, BHARTIARTL.NS, ICICIBANK.NS",-0.03968751156609277,-0.11208423493413541
2023-02-28,"RELIANCE.NS, SBIN.NS, AXISBANK.NS","TCS.NS, INFY.NS, SUNPHARMA.NS",-0.028653311399313226,-0.32224217543563927
2023-03-31,"RELIANCE.NS, SBIN.NS, HDFCBANK.NS","TCS.NS, BHARTIARTL.NS, HINDUNILVR.NS",-0.01870694705213985,-0.06993006993006995
2023-04-30,"SBIN.NS, RELIANCE.NS, HDFCBANK.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",-0.023278437656367862,0.0
2023-05-31,"RELIANCE.NS, LT.NS, SBIN.NS","TCS.NS, MARUTI.NS, INFY.NS",-0.04216741341042559,-0.19264477879304523
2023-06-30,"RELIANCE.NS, SBIN.NS, HDFCBANK.NS","INFY.NS, TCS.NS, AXISBANK.NS",-0.05669015644483426,-0.3076923076923077
2023-07-31,"SBIN.NS, RELIANCE.NS, HDFCBANK.NS","TCS.NS, INFY.NS, AXISBANK.NS",-0.08924180179494337,-0.6304738215045116
2023-08-31,"SBIN.NS, RELIANCE.NS, BHARTIARTL.NS","TCS.NS, MARUTI.NS, INFY.NS",-0.03481673065467128,-0.11579018646071314
2023-09-30,"SBIN.NS, RELIANCE.NS, LT.NS","TCS.NS, INFY.NS, AXISBANK.NS",0.000616603727684642,-0.11188811188811189
2023-10-31,"RELIANCE.NS, SBIN.NS, BHARTIARTL.NS","TCS.NS, INFY.NS, HDFCBANK.NS",0.08967279451048009,0.4098079839779326
2023-11-30,"SBIN.NS, RELIANCE.NS, ICICIBANK.NS","INFY.NS, TCS.NS, HINDUNILVR.NS",0.007397384626546193,0.32224217543563927
2023-12-31,"SBIN.NS, RELIANCE.NS, HDFCBANK.NS","TCS.NS, AXISBANK.NS, HINDUNILVR.NS",-0.038773694125534997,-0.41958041958041964
2024-01-31,"RELIANCE.NS, SBIN.NS, SUNPHARMA.NS","TCS.NS, HDFCBANK.NS, MARUTI.NS",-0.03805918367355243,-0.22575833709420015
2024-02-29,"RELIANCE.NS, SUNPHARMA.NS, SBIN.NS","TCS.NS, HDFCBANK.NS, ICICIBANK.NS",-0.007288032969098267,-0.021015794050150385
2024-03-31,"SBIN.NS, AXISBANK.NS, SUNPHARMA.NS","TCS.NS, HDFCBANK.NS, LT.NS",-0.010455330881517663,0.0770579115172181
2024-04-30,"RELIANCE.NS, SBIN.NS, SUNPHARMA.NS","TCS.NS, LT.NS, ICICIBANK.NS",0.024930894894893044,0.06349453230774381
2024-05-31,"SUNPHARMA.NS, HDFCBANK.NS, SBIN.NS","TCS.NS, ICICIBANK.NS, MARUTI.NS",-0.08096251564586081,-0.3047290137271806
2024-06-30,"RELIANCE.NS, AXISBANK.NS, SBIN.NS","INFY.NS, BHARTIARTL.NS, ICICIBANK.NS",-0.03161641902531498,-0.3712790282193235
2024-07-31,"SUNPHARMA.NS, RELIANCE.NS, HDFCBANK.NS","TCS.NS, ICICIBANK.NS, MARUTI.NS",0.047463061379066515,0.29473865644545166
2024-08-31,"SUNPHARMA.NS, RELIANCE.NS, SBIN.NS","INFY.NS, BHARTIARTL.NS, TCS.NS",0.025407604352086742,0.0035274740170968774
2024-09-30,"AXISBANK.NS, SBIN.NS, RELIANCE.NS","INFY.NS, BHARTIARTL.NS, TCS.NS",0.018490212194615663,0.4895104895104896
2024-10-31,"HDFCBANK.NS, RELIANCE.NS, SUNPHARMA.NS","TCS.NS, INFY.NS, LT.NS",0.010173573808554435,0.15520885675226262
2024-11-30,"ICICIBANK.NS, SBIN.NS, RELIANCE.NS","INFY.NS, TCS.NS, AXISBANK.NS",-0.036123133283842535,-0.11208423493413541
2024-12-31,"RELIANCE.NS, MARUTI.NS, HDFCBANK.NS","INFY.NS, HINDUNILVR.NS, TCS.NS",0.039439156712737275,0.1403517411645008
2025-01-31,"HDFCBANK.NS, RELIANCE.NS, SBIN.NS","TCS.NS, INFY.NS, HINDUNILVR.NS",-0.09053104829479439,-0.32631779820746437
2025-02-28,"RELIANCE.NS, SBIN.NS, LT.NS","INFY.NS, BHARTIARTL.NS, TCS.NS",-0.034590589060534103,-0.32574480777733106
2025-03-31,"RELIANCE.NS, SBIN.NS, AXISBANK.NS","INFY.NS, TCS.NS, BHARTIARTL.NS",-0.015918767718083975,0.06993006993006995
2025-04-30,"RELIANCE.NS, HDFCBANK.NS, MARUTI.NS","INFY.NS, TCS.NS, HINDUNILVR.NS",-0.062450655716168146,-0.3642737635359401
2025-05-31,"HDFCBANK.NS, RELIANCE.NS, MARUTI.NS","TCS.NS, INFY.NS, BHARTIARTL.NS",-0.017713106150618607,0.05954474980875943
2025-06-30,"HDFCBANK.NS, RELIANCE.NS, MARUTI.NS","INFY.NS, LT.NS, HINDUNILVR.NS",0.002044739618618799,0.21716320518488735
2025-07-31,"RELIANCE.NS, HDFCBANK.NS, AXISBANK.NS","TCS.NS, INFY.NS, LT.NS",-0.011227005623917652,-0.031747266153871904
2025-08-31,"RELIANCE.NS, SBIN.NS, MARUTI.NS","INFY.NS, TCS.NS, SUNPHARMA.NS",0.027246218755331217,0.24382995499537574
2025-09-30,"RELIANCE.NS, SBIN.NS, HDFCBANK.NS","INFY.NS, TCS.NS, AXISBANK.NS",-0.02043498126095178,-0.3403529723239144
